id,Country,CountryCode,Lat,Lon,Cases,Status,Date
0,United States of America,,0,0,1,confirmed,2020-01-23T00:00:00Z
1,United States of America,,0,0,2,confirmed,2020-01-24T00:00:00Z
2,United States of America,,0,0,2,confirmed,2020-01-25T00:00:00Z
3,United States of America,,0,0,5,confirmed,2020-01-26T00:00:00Z
4,United States of America,,0,0,5,confirmed,2020-01-27T00:00:00Z
5,United States of America,,0,0,5,confirmed,2020-01-28T00:00:00Z
6,United States of America,,0,0,5,confirmed,2020-01-29T00:00:00Z
7,United States of America,,0,0,5,confirmed,2020-01-30T00:00:00Z
8,United States of America,,0,0,7,confirmed,2020-01-31T00:00:00Z
9,United States of America,,0,0,8,confirmed,2020-02-01T00:00:00Z
10,United States of America,,0,0,8,confirmed,2020-02-02T00:00:00Z
11,United States of America,,0,0,11,confirmed,2020-02-03T00:00:00Z
12,United States of America,,0,0,11,confirmed,2020-02-04T00:00:00Z
13,United States of America,,0,0,11,confirmed,2020-02-05T00:00:00Z
14,United States of America,,0,0,11,confirmed,2020-02-06T00:00:00Z
15,United States of America,,0,0,11,confirmed,2020-02-07T00:00:00Z
16,United States of America,,0,0,11,confirmed,2020-02-08T00:00:00Z
17,United States of America,,0,0,11,confirmed,2020-02-09T00:00:00Z
18,United States of America,,0,0,11,confirmed,2020-02-10T00:00:00Z
19,United States of America,,0,0,12,confirmed,2020-02-11T00:00:00Z
20,United States of America,,0,0,12,confirmed,2020-02-12T00:00:00Z
21,United States of America,,0,0,13,confirmed,2020-02-13T00:00:00Z
22,United States of America,,0,0,13,confirmed,2020-02-14T00:00:00Z
23,United States of America,,0,0,13,confirmed,2020-02-15T00:00:00Z
24,United States of America,,0,0,13,confirmed,2020-02-16T00:00:00Z
25,United States of America,,0,0,13,confirmed,2020-02-17T00:00:00Z
26,United States of America,,0,0,13,confirmed,2020-02-18T00:00:00Z
27,United States of America,,0,0,13,confirmed,2020-02-19T00:00:00Z
28,United States of America,,0,0,13,confirmed,2020-02-20T00:00:00Z
29,United States of America,,0,0,15,confirmed,2020-02-21T00:00:00Z
30,United States of America,,0,0,15,confirmed,2020-02-22T00:00:00Z
31,United States of America,,0,0,15,confirmed,2020-02-23T00:00:00Z
32,United States of America,,0,0,15,confirmed,2020-02-24T00:00:00Z
33,United States of America,,0,0,15,confirmed,2020-02-25T00:00:00Z
34,United States of America,,0,0,15,confirmed,2020-02-26T00:00:00Z
35,United States of America,,0,0,16,confirmed,2020-02-27T00:00:00Z
36,United States of America,,0,0,16,confirmed,2020-02-28T00:00:00Z
37,United States of America,,0,0,24,confirmed,2020-02-29T00:00:00Z
38,United States of America,,0,0,30,confirmed,2020-03-01T00:00:00Z
39,United States of America,,0,0,53,confirmed,2020-03-02T00:00:00Z
40,United States of America,,0,0,73,confirmed,2020-03-03T00:00:00Z
41,United States of America,,0,0,104,confirmed,2020-03-04T00:00:00Z
42,United States of America,,0,0,172,confirmed,2020-03-05T00:00:00Z
43,United States of America,,0,0,217,confirmed,2020-03-06T00:00:00Z
44,United States of America,,0,0,336,confirmed,2020-03-07T00:00:00Z
45,United States of America,,0,0,450,confirmed,2020-03-08T00:00:00Z
46,United States of America,,0,0,514,confirmed,2020-03-09T00:00:00Z
47,United States of America,,0,0,708,confirmed,2020-03-10T00:00:00Z
48,United States of America,,0,0,1105,confirmed,2020-03-11T00:00:00Z
49,United States of America,,0,0,1557,confirmed,2020-03-12T00:00:00Z
50,United States of America,,0,0,2147,confirmed,2020-03-13T00:00:00Z
51,United States of America,,0,0,2857,confirmed,2020-03-14T00:00:00Z
52,United States of America,,0,0,2918,confirmed,2020-03-15T00:00:00Z
53,United States of America,,0,0,4307,confirmed,2020-03-16T00:00:00Z
54,United States of America,,0,0,6096,confirmed,2020-03-17T00:00:00Z
55,United States of America,,0,0,8873,confirmed,2020-03-18T00:00:00Z
56,United States of America,,0,0,14024,confirmed,2020-03-19T00:00:00Z
57,United States of America,,0,0,19230,confirmed,2020-03-20T00:00:00Z
58,United States of America,,0,0,25627,confirmed,2020-03-21T00:00:00Z
59,United States of America,,0,0,33621,confirmed,2020-03-22T00:00:00Z
60,United States of America,,0,0,43663,confirmed,2020-03-23T00:00:00Z
61,United States of America,,0,0,53736,confirmed,2020-03-24T00:00:00Z
62,United States of America,,0,0,65778,confirmed,2020-03-25T00:00:00Z
63,United States of America,,0,0,83836,confirmed,2020-03-26T00:00:00Z
64,United States of America,,0,0,101657,confirmed,2020-03-27T00:00:00Z
65,United States of America,,0,0,121478,confirmed,2020-03-28T00:00:00Z
66,United States of America,,0,0,140886,confirmed,2020-03-29T00:00:00Z
67,United States of America,,0,0,161807,confirmed,2020-03-30T00:00:00Z
68,United States of America,,0,0,188172,confirmed,2020-03-31T00:00:00Z
69,United States of America,,0,0,213362,confirmed,2020-04-01T00:00:00Z
70,United States of America,,0,0,243453,confirmed,2020-04-02T00:00:00Z
71,United States of America,,0,0,275582,confirmed,2020-04-03T00:00:00Z
72,United States of America,,0,0,337065,confirmed,2020-04-05T00:00:00Z
73,United States of America,,0,0,366607,confirmed,2020-04-06T00:00:00Z
74,United States of America,,0,0,396221,confirmed,2020-04-07T00:00:00Z
75,United States of America,,0,0,429047,confirmed,2020-04-08T00:00:00Z
